video_id,meta_has_title,meta_has_description,meta_video_duration,meta_description_length,meta_description_unique_words,meta_view_count,meta_like_count,meta_comment_count,meta_subscriber_count,meta_channel_upload_count,meta_sentiment,meta_sentence_count,flesch_reading_ease,flesch_kincaid_grade_level,smog_index,gunning_fog_index,average_word_length,long_word_ratio,lexical_diversity,medical_density,medical_mention_count,medical_unique_count,rare_term_ratio_unique,rare_term_ratio_mentions,term_clustering_concentrated,term_clustering_gini,term_clustering_max_share,condition_ratio,symptom_ratio,therapy_ratio,diagnostic_ratio,medication_ratio,anatomy_ratio,location_ratio,measurement_ratio,context_ratio,activity_ratio,other_ratio,passive_voice_ratio,average_sentence_length,sentence_length_std,syntax_tree_depth,subordinate_clause_density,average_dependency_distance,pronoun_frequency,text_length,word_count
Zag8OJlZurM,True,True,69.0,5,5,728,1,0,13600,1174,Neutral,1,-68.78,60.61,27.37,65.27,1.434,0.118,0.513,0.1513157894736842,23.0,19.0,0.7894736842105263,0.6521739130434783,True,0.1739130434782609,0.3043478260869565,0.0,0.1304347826086956,0.217391304347826,0.0,0.0434782608695652,0.0,0.217391304347826,0.1304347826086956,0.0,0.0,0.2608695652173913,1.5,79.5,111.02,5.5,0.458,6.24,0.138,838.0,153.0
Zc6soBlDwW8,True,True,16.0,80,49,100,0,0,35300,1846,Neutral,3,33.35,19.54,15.9,22.15,1.523,0.114,0.841,0.2325581395348837,10.0,8.0,0.75,0.6,True,0.32,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.5,22.0,21.21,5.0,0.333,2.61,0.136,254.0,44.0
ZdZ19RIZeZE,True,True,3668.0,192,130,1786,4,0,24900,211,Neutral,4,-10307.44,3994.1,197.53,4098.66,1.462,0.113,0.131,0.0047480620155038,49.0,44.0,0.9318181818181818,0.8367346938775511,True,0.8,1.0,0.1020408163265306,0.0,0.2448979591836734,0.0,0.0,0.0,0.1836734693877551,0.0204081632653061,0.0,0.0,0.4489795918367347,0.47,53.58,80.58,7.84,0.009,4.43,0.125,56360.0,10300.0
ZgiWEAsHlGY,True,True,137.0,88,62,483,0,0,11700,1438,Neutral,4,54.7,9.72,12.49,12.6,1.601,0.163,0.495,0.0314465408805031,10.0,6.0,0.8333333333333334,0.5,True,0.6000000000000001,0.6,0.2,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.2,0.105,17.37,9.98,6.42,0.092,3.23,0.103,1878.0,317.0
ZgzU2RFFm6g,True,False,16.0,0,0,1136,14,0,55000,668,,0,77.74,3.96,5.68,2.48,1.452,0.032,0.774,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,3.97,3.4,0.0,2.18,0.281,164.0,31.0
ZhQABXf6BdY,True,True,69.0,80,63,53281,247,23,697000,6101,Neutral,4,-92.88,73.17,20.27,76.87,1.275,0.048,0.513,0.2146596858638743,41.0,36.0,0.9722222222222222,0.8536585365853658,False,0.126829268292683,0.2926829268292683,0.0,0.1219512195121951,0.024390243902439,0.0,0.0,0.0,0.0,0.024390243902439,0.0,0.024390243902439,0.8048780487804879,0.0,22.0,22.57,5.11,0.165,3.18,0.258,932.0,190.0
Zl-EnGKb0JE,True,True,917.0,28,27,467,2,0,569000,3032,Neutral,2,-2795.34,1105.21,121.18,1135.85,1.581,0.151,0.257,0.0302608695652173,87.0,82.0,0.9390243902439024,0.8850574712643678,True,0.8,1.0,0.0459770114942528,0.0919540229885057,0.2758620689655172,0.0,0.0459770114942528,0.0114942528735632,0.0344827586206896,0.1034482758620689,0.0,0.0,0.3908045977011494,0.352,54.69,61.2,8.54,0.036,4.19,0.142,16001.0,2858.0
ZmeclSDnesQ,True,True,4989.0,46,41,874,11,0,698000,6325,Neutral,2,47.02,10.85,49.47,12.21,1.689,0.178,0.14,0.0027012896479609,31.0,25.0,0.84,0.6774193548387096,True,0.8,1.0,0.4193548387096774,0.032258064516129,0.032258064516129,0.0,0.0967741935483871,0.0,0.0,0.032258064516129,0.0,0.0,0.3870967741935484,0.186,16.87,12.84,5.97,0.003,3.38,0.068,70586.0,11591.0
ZmvpFiaKAWY,True,True,112.0,46,42,1666,6,0,75200,1684,Neutral,2,-238.24,124.49,37.88,129.29,1.494,0.118,0.497,0.0888888888888888,28.0,23.0,0.9130434782608696,0.75,False,0.1571428571428572,0.2857142857142857,0.0,0.0,0.2142857142857142,0.0,0.0,0.0,0.2142857142857142,0.0714285714285714,0.0,0.0,0.5,0.667,107.0,60.51,15.33,0.415,3.97,0.159,1750.0,314.0
Zn9dr0Fmmsk,True,True,295.0,53,45,353,3,0,36000,6286,Neutral,3,65.81,5.67,8.14,6.41,1.59,0.12,0.614,0.0481927710843373,4.0,4.0,1.0,1.0,True,0.7,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.38,2.96,4.54,0.1,2.34,0.084,521.0,83.0
