video_id,meta_has_title,meta_has_description,meta_video_duration,meta_description_unique_words,meta_like_count,meta_comment_count,meta_subscriber_count,meta_sentiment,average_word_length,lexical_diversity,medical_density,medical_mention_count,rare_term_ratio_unique,term_clustering_concentrated,term_clustering_gini,condition_ratio,symptom_ratio,therapy_ratio,medication_ratio,anatomy_ratio,location_ratio,measurement_ratio,activity_ratio,other_ratio,passive_voice_ratio,sentence_length_std,syntax_tree_depth,subordinate_clause_density,average_dependency_distance,pronoun_frequency,word_count
fKyzKlYGZhA,True,True,188.0,70,1,0,45400,3.0,1.611,0.535,0.2291169451073985,96.0,0.8961038961038961,False,0.1500000000000001,0.0625,0.0520833333333333,0.3645833333333333,0.1770833333333333,0.0104166666666666,0.03125,0.0416666666666666,0.0208333333333333,0.2395833333333333,1.0,0.0,14.0,0.95,6.8,0.109,421.0
fMuGNy2oCzI,True,True,238.0,22,3,2,16600,3.0,1.438,0.47,0.0279605263157894,17.0,0.75,True,0.4941176470588235,0.3529411764705882,0.0,0.0588235294117647,0.0,0.1764705882352941,0.0588235294117647,0.0,0.0,0.3529411764705882,0.04,8.55,4.58,0.036,2.87,0.128,598.0
fPyS5ma_7rM,True,True,1071.0,169,171,46,10700,3.0,1.611,0.243,0.0322733744660655,68.0,0.7631578947368421,True,0.7705882352941178,0.088235294117647,0.0294117647058823,0.5441176470588235,0.0441176470588235,0.0,0.0735294117647058,0.0294117647058823,0.0147058823529411,0.1764705882352941,3.25,247.68,15.75,0.226,5.61,0.107,2102.0
gOLAVmFflgg,True,True,66.0,26,15,0,50000,3.0,1.631,0.62,0.1375661375661375,26.0,0.8947368421052632,False,0.2153846153846155,0.0,0.0,0.1923076923076923,0.0,0.3076923076923077,0.0384615384615384,0.0769230769230769,0.0,0.3846153846153846,1.5,17.68,11.5,0.647,5.42,0.123,189.0
gt-AVLJGYnA,True,True,262.0,162,19,0,100000,2.0,1.445,0.42,0.1353996737357259,83.0,0.8450704225352113,True,0.308433734939759,0.144578313253012,0.0602409638554216,0.1325301204819277,0.0240963855421686,0.1325301204819277,0.036144578313253,0.072289156626506,0.0120481927710843,0.3855421686746988,0.25,74.91,6.58,0.193,3.83,0.175,605.0
h6l3CB3boLA,True,True,893.0,89,5,0,45300,3.0,1.542,0.273,0.0024291497975708,6.0,0.6666666666666666,True,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.355,5.97,5.84,0.011,2.84,0.082,2470.0
iEOa6VM8zHg,True,True,146.0,62,2556,15,251000,3.0,1.541,0.398,0.2326530612244897,57.0,0.8571428571428571,True,0.1894736842105264,0.0,0.0,0.1929824561403508,0.0,0.5087719298245614,0.0175438596491228,0.0175438596491228,0.0,0.2631578947368421,8.5,25.46,10.5,0.538,4.02,0.036,246.0
iPyVe4jx7rI,True,True,178.0,54,66,0,22200,3.0,1.638,0.461,0.0918803418803418,43.0,0.9761904761904762,False,0.241860465116279,0.0232558139534883,0.0,0.1395348837209302,0.0,0.0232558139534883,0.1395348837209302,0.0697674418604651,0.0,0.6046511627906976,2.0,226.27,16.5,0.507,4.98,0.118,467.0
iWSewFlU6o8,True,True,201.0,71,1738,112,697000,3.0,1.705,0.473,0.1702586206896551,79.0,0.7755102040816326,False,0.1873417721518988,0.0759493670886076,0.0126582278481012,0.240506329113924,0.0126582278481012,0.050632911392405,0.0,0.0379746835443038,0.0,0.569620253164557,3.5,156.27,15.0,0.743,5.61,0.077,463.0
iZjpNbYrU4w,True,True,5531.0,95,9,0,674,3.0,1.567,0.159,0.0062092988035741,82.0,0.8923076923076924,True,0.8,0.048780487804878,0.0853658536585365,0.1829268292682926,0.0,0.0,0.073170731707317,0.0853658536585365,0.0,0.524390243902439,0.35,91.36,8.18,0.008,4.72,0.116,13191.0
